_id,name,asset_type,location_id,street_address,city,latitude,longitude
35279799,FRONT ENTRANCE - MCKELVY SCH CAFETERIA,polling_places,1486.0,2055 BEDFORD AVE,PITTSBURGH,40.4476796513966,-79.9816525526887
35279800,FRONT ENTRANCE - MCKELVY SCH CAFETERIA,polling_places,1486.0,2055 BEDFORD AVE,PITTSBURGH,40.4476796513966,-79.9816525526887
35279801,FULTON SCH KINDERGARTEN ROOM #2,polling_places,1510.0,5799 HAMPTON ST,PITTSBURGH,40.4750083677689,-79.9219837384264
35279802,FULTON SCH KINDERGARTEN ROOM #2,polling_places,1510.0,5799 HAMPTON ST,PITTSBURGH,40.4750083677689,-79.9219837384264
35279803,G W CARVER HALL SR CITZ BLDG,polling_places,1650.0,565 REED ST,CLAIRTON,40.2926816825791,-79.8806113809053
35279804,G W CARVER HALL SR CITZ BLDG,polling_places,1650.0,565 REED ST,CLAIRTON,40.2926816825791,-79.8806113809053
35279805,G W CARVER HALL SR CITZ BLDG,polling_places,1650.0,565 REED ST,CLAIRTON,40.2926816825791,-79.8806113809053
35279806,GARAGE OF RESIDENCE,polling_places,1963.0,789 TROPICAL AVE,PITTSBURGH,40.4236021134063,-80.0240836439661
35279807,GATEWAY MIDDLE SCHOOL,polling_places,1798.0,4450 OLD WILLIAM PENN HWY,MONROEVILLE,40.4443457670874,-79.7610949554725
35279808,GENERAL BRADDOCK TOWERS,polling_places,1478.0,620 6TH ST,BRADDOCK,40.4053407063408,-79.8640360291948
35279809,GENERAL BRADDOCK TOWERS,polling_places,1477.0,620 6TH ST,BRADDOCK,40.4050442844454,-79.8642034845368
35279810,GEORGE WASHINGTON SCHOOL GYM,polling_places,1630.0,515 CLIFTON RD,BETHEL PARK,40.3126582220853,-80.0629484592846
35279811,GILL HALL PARK BLDG DWNSTAIR HL,polling_places,1754.0,1255 GILL HALL RD,JEFFERSON HILLS,40.2884812537125,-79.9563172833072
35279812,GILL HALL PARK COMMUNITY CENTER,polling_places,1754.0,1255 GILL HALL RD,JEFFERSON HILLS,40.2884812537125,-79.9563172833072
